S0		A0		S1		S2		S3		S4		A1		A2		A3		A4	
316  Points		313  Points		263  Points		183  Points		155  Points		106  Points		286  Points		227  Points		159  Points		122  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.30788	4.5191	1.31007	2.52901	3.19334	6.54862	4.71479	8.69042	6.70737	12.4435	9.38529	17.1352	3.01662	6.24691	5.02396	9.24364	6.84887	12.6528	8.36033	15.2565
2.31625	4.50159	1.3451	2.54377	3.23368	6.48809	4.74229	8.61411	6.71921	12.2214	9.39491	16.8221	3.05729	6.19305	5.03833	9.09001	6.87422	12.4519	8.37294	14.9851
2.32745	4.47785	1.38014	2.55795	3.27561	6.43324	4.76507	8.55274	6.73143	12.0085	9.40463	16.521	3.09779	6.14115	5.05341	8.94348	6.89972	12.259	8.3859	14.7245
2.34133	4.44796	1.41518	2.57158	3.31899	6.38346	4.78311	8.50529	6.74403	11.8042	9.41444	16.2313	3.1381	6.09106	5.06713	8.8213	6.92535	12.0736	8.39921	14.4743
2.35774	4.41209	1.45022	2.58468	3.36369	6.33819	4.79639	8.47098	6.75703	11.6082	9.42433	15.9522	3.1782	6.04261	5.07927	8.721	6.95112	11.8952	8.41288	14.2337
2.37651	4.37049	1.48526	2.59729	3.40958	6.29691	4.8049	8.44928	6.77042	11.42	9.43432	15.6833	3.21807	5.99567	5.08962	8.64065	6.977	11.7235	8.42692	14.0024
2.39751	4.32349	1.52029	2.60942	3.45654	6.25917	4.81713	8.41842	6.78422	11.2392	9.44439	15.424	3.25767	5.9501	5.098	8.57872	7.00299	11.5581	8.44132	13.7798
2.41802	4.27743	1.55532	2.6211	3.50444	6.22456	4.83044	8.38534	6.79844	11.0653	9.45456	15.1738	3.297	5.90579	5.10428	8.53406	7.02908	11.3986	8.4561	13.5655
2.43813	4.2324	1.59033	2.63235	3.55319	6.19271	4.84856	8.34107	6.81308	10.8982	9.46482	14.9322	3.33602	5.86263	5.10835	8.50586	7.05526	11.2447	8.47127	13.3591
2.45793	4.18848	1.62533	2.64318	3.60267	6.16329	4.87151	8.28627	6.82815	10.7374	9.47517	14.6989	3.37473	5.82052	5.11426	8.46584	7.08152	11.0962	8.48682	13.1602
2.47748	4.14574	1.66032	2.65362	3.65279	6.13602	4.8993	8.2217	6.84366	10.5826	9.48562	14.4734	3.41309	5.77936	5.12079	8.42303	7.10785	10.9527	8.50276	12.9684
