S0		A0		S1		S2		S3		S4		A1		A2		A3		A4		A5	
2000  Points		1994  Points		1752  Points		1373  Points		906  Points		724  Points		1851  Points		1595  Points		1114  Points		646  Points		446  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.150566	0.986603	0.0445739	0.260587	0.540588	3.55687	0.712676	4.69926	1.10436	7.24289	1.65152	10.932	0.312964	2.18165	0.828294	5.48311	1.34923	8.84774	1.39305	9.21188	1.92694	12.7272
0.152398	0.986125	0.0454383	0.262673	0.540468	3.51143	0.713536	4.64572	1.10447	7.15298	1.65156	10.7942	0.313529	2.16765	0.828383	5.41444	1.34924	8.73711	1.39348	9.09844	1.92699	12.5671
0.154228	0.985639	0.0463073	0.264738	0.540351	3.46714	0.714402	4.59356	1.10459	7.06529	1.6516	10.6598	0.314216	2.15105	0.828473	5.34748	1.34926	8.62922	1.39391	8.98785	1.92704	12.4111
0.156055	0.985147	0.047181	0.266786	0.540238	3.42395	0.715275	4.54273	1.1047	6.97976	1.65164	10.5288	0.315027	2.13202	0.828565	5.28219	1.34928	8.52398	1.39435	8.88001	1.92709	12.2588
0.157878	0.984646	0.0480593	0.268815	0.540127	3.38183	0.716155	4.49317	1.10482	6.8963	1.65168	10.4009	0.315965	2.11076	0.828658	5.21849	1.34929	8.42128	1.39479	8.77482	1.92714	12.1103
0.159699	0.984139	0.0489418	0.270824	0.540021	3.34074	0.717041	4.44484	1.10494	6.81484	1.65172	10.2761	0.316911	2.0901	0.828753	5.15633	1.34931	8.32104	1.39523	8.67219	1.9272	11.9653
0.161516	0.983625	0.0498289	0.272815	0.539917	3.30065	0.717934	4.39769	1.10506	6.7353	1.65176	10.1543	0.317863	2.07	0.828849	5.09566	1.34933	8.22317	1.39568	8.57201	1.92725	11.8238
0.16333	0.983103	0.0507203	0.274788	0.539818	3.26151	0.718834	4.35169	1.10518	6.65763	1.65181	10.0353	0.318823	2.05044	0.828946	5.03642	1.34936	8.12758	1.39613	8.47421	1.9273	11.6855
0.165141	0.982574	0.0516157	0.276742	0.539722	3.22329	0.719739	4.30679	1.10531	6.58175	1.65185	9.91915	0.31979	2.03141	0.829045	4.97857	1.34938	8.0342	1.39659	8.37871	1.92736	11.5505
0.166949	0.982037	0.0525154	0.278678	0.53963	3.18597	0.720652	4.26295	1.10543	6.50761	1.65189	9.80562	0.320763	2.01289	0.829145	4.92205	1.3494	7.94295	1.39705	8.28542	1.92741	11.4186
0.168753	0.981494	0.0534192	0.280597	0.539542	3.14952	0.72157	4.22015	1.10556	6.43515	1.65194	9.69468	0.321744	1.99485	0.829246	4.86682	1.34943	7.85376	1.39752	8.19426	1.92747	11.2897
0.170554	0.980943	0.0543268	0.282497	0.539458	3.1139	0.722495	4.17833	1.10569	6.36431	1.65198	9.58622	0.322731	1.97728	0.829349	4.81283	1.34945	7.76656	1.39799	8.10518	1.92752	11.1637
0.172352	0.980384	0.0552384	0.284379	0.539379	3.0791	0.723426	4.13747	1.10582	6.29504	1.65203	9.48018	0.323725	1.96016	0.829453	4.76006	1.34948	7.68129	1.39846	8.01809	1.92758	11.0404
0.174146	0.979817	0.0561537	0.286244	0.539303	3.04507	0.724364	4.09755	1.10595	6.22728	1.65208	9.37647	0.324725	1.94347	0.829559	4.70845	1.34951	7.59788	1.39894	7.93293	1.92764	10.9199
0.175936	0.979244	0.0570729	0.288091	0.539232	3.01181	0.725307	4.05852	1.10608	6.16099	1.65212	9.275	0.325731	1.92721	0.829666	4.65796	1.34954	7.51627	1.39942	7.84965	1.9277	10.802
0.177723	0.978663	0.0579957	0.289921	0.539166	2.97928	0.726256	4.02035	1.10622	6.09612	1.65217	9.17572	0.326744	1.91134	0.829775	4.60857	1.34957	7.43641	1.39991	7.76817	1.92776	10.6866
0.179506	0.978073	0.0589222	0.291734	0.539104	2.94746	0.727211	3.98303	1.10635	6.03262	1.65222	9.07855	0.327763	1.89587	0.829885	4.56024	1.34961	7.35824	1.4004	7.68844	1.92782	10.5736
0.181285	0.977477	0.0598521	0.29353	0.539046	2.91634	0.728172	3.94652	1.10649	5.97046	1.65227	8.98343	0.328788	1.88078	0.829997	4.51293	1.34964	7.2817	1.40089	7.61041	1.92788	10.4631
0.183061	0.976873	0.0607855	0.295309	0.538994	2.88588	0.729139	3.9108	1.10663	5.90959	1.65232	8.89029	0.329819	1.86605	0.83011	4.46661	1.34968	7.20675	1.40139	7.53402	1.92794	10.3548
0.184833	0.97626	0.0617223	0.297071	0.538946	2.85607	0.730112	3.87584	1.10677	5.84997	1.65237	8.79907	0.330856	1.85167	0.830224	4.42125	1.34971	7.13334	1.40189	7.45923	1.928	10.2488
